ID,Type,Owner,Business rule,Case study anchor,,,,,,,,
BR-20,Must,P3 ※ P1,Clinical staff must still be able to authorise urgent treatment even where payment has not been confirmed; the reason must be recorded and the case referred to the Finance Team.,"""Clinical staff must still be able to authorise urgent treatment... reason... recorded and referred to the Finance Team""",,,,,,,,
BR-21,Must,P3,Only an authorised member of the Finance Team may determine whether a full or partial refund is appropriate; the refund instruction is sent to the external Payment Service Provider and the outcome recorded against the patient's account.,"""an authorised member of the Finance Team determines whether a full or partial refund is appropriate... sent to the external Payment Service Provider""",,,,,,,,
BR-22,Must,P3,Clinical staff may provide treatment information but must not approve financial refunds unless they also hold the required financial authority; members of the Finance Team must not make decisions about whether treatment is clinically necessary.,"""Clinical staff may provide information... but must not approve financial refunds unless they also hold the required financial authority. Similarly, members of the Finance Team must not make decisions about whether treatment is clinically necessary""",,,,,,,,
BR-23,Must,P4,The Consultant remains responsible for the clinical content of the Clinic Letter and must approve it before it can be distributed.,"""The Consultant remains responsible for the clinical content... must approve it before it can be distributed""",,,,,,,,
BR-24,Must,P4,Administrative staff may correct formatting and clear administrative errors but must not change the clinical meaning of a letter; suspected clinical errors must be returned to the Consultant.,"""Administrative staff may correct formatting and clear administrative errors but must not change the clinical meaning... returned to the Consultant""",,,,,,,,
BR-25,Must,P4,"Clinic Letters must be completed, approved, processed and sent within seven days of the relevant appointment.","""completed, approved, processed and sent within seven days of the relevant appointment""",,,,,,,,
BR-26,Must,P4,"A letter not completed within seven days is treated as delayed; where the delay exceeds one month it must be escalated to the Administrative Manager, and where it exceeds three months it must be escalated to a higher management team.","""more than seven days... delayed; more than one month... escalated to the Administrative Manager; more than three months... higher management team""",,,,,,,,
BR-27,Must,P4,"The system must prevent repeated reminders once a letter has been completed, support authorised staff in recording valid reasons for delay, and retain a full history of reminders, responses and escalations.","""prevent repeated reminders... support authorised staff in recording valid reasons... retain a full history""",,,,,,,,
BR-28,Must,P4 ※ P2 ※ P3,"Where no follow-up appointment is available within the clinically requested period, the case must be highlighted and referred to the relevant pathway team rather than being silently booked outside that period.","""case must be highlighted and referred to the relevant pathway team rather than being silently booked outside the clinically requested period""",,,,,,,,
BR-29,Must,P4,"Cancellations, declines and non-attendance must be recorded, and a decision made on whether another appointment should be offered, the pathway reviewed by clinical staff, or the referrer informed; paid appointments must be referred to the Finance Team.","""record these events and decide whether another appointment should be offered... If a paid appointment is cancelled... referred to the Finance Team""",,,,,,,,
BR-30,Must,P5,"Call handlers may answer straightforward administrative questions, must refer payment and funding matters to the Finance Team, and must refer clinical matters to clinical staff; they must not diagnose a condition, interpret test results, recommend treatment or give clinical advice.","""Call handlers may answer straightforward administrative questions... must not diagnose a condition, interpret test results, recommend treatment""",,,,,,,,
BR-31,Must,P5,"Every enquiry must be recorded, classified, assigned a priority and routed to the appropriate team; urgent clinical concerns must be highlighted immediately.","""Every enquiry must be recorded, classified, assigned a priority and routed... Urgent clinical concerns must be highlighted immediately""",,,,,,,,
BR-32,Open,P5,The hospital has not yet agreed a complete set of rules for determining the urgency of an enquiry (see OQ-01).,"""the hospital has not yet agreed a complete set of rules for determining urgency""",,,,,,,,
BR-33,Must,P5,The system must authenticate users and apply role-based access controls.,"""authenticate users, apply role-based access controls""",,,,,,,,
BR-34,Must,P5,"Audit records must identify the user, date, time and nature of each significant action, and must not be editable by ordinary users.","""Audit records must identify the user, date, time and nature of each action and must not be editable by ordinary users""",,,,,,,,
BR-35,Must,P5,The system must maintain accurate patient identification information and reduce the risk of records being associated with the wrong patient where information is received from different organisations or external services.,"""maintain accurate patient identification information and reduce the risk of records being associated with the wrong patient""",,,,,,,,
BR-36,Must,P5,The system must provide an appropriate procedure for recording activities completed during any period of system or external-service unavailability.,"""provide an appropriate procedure for recording activities completed during any period of system or external-service unavailability""",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,"		
Description",,,Proposed handling,,,,,"	
Consult",,,Status
OQ-01,Rules for determining enquiry urgency are not yet defined (linked to BR-31 / BR-32).,,,"Initial classification by the call handler using clinical keywords, with secondary confirmation by the receiving clinical team; implemented as a parameterised placeholder.",,,,,Module tutor,,,To be confirmed by end of Day 2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Summary,,,,,,,,,,,,
Total entries:​ 36 rules (BR-01 – BR-36) plus 1 open question (OQ-01),,,,,,,,,,,,
Must rules:​ 33 | Should rules:​ 1 (BR-17) | Open items:​ 1 (OQ-01 / BR-32),,,,,,,,,,,,
"Cross-domain sign-off points:​ BR-09 (P1 ※ P3), BR-20 (P1 ※ P3), BR-28 (P2 ※ P4 ※ P3)",,,,,,,,,,,,
"Distribution by domain:​ P1 = 9, P2 = 4, P3 = 9, P4 = 7, P5 = 7",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"In Parts 2, 3, 4 and 6 of the workshop, the ""Related requirement"" column must contain only​ the reference IDs used in this register (e.g. BR-04, BR-19, OQ-01). Natural-language descriptions must not be used in that column.",,,,,,,,,,,,
